text,category
Residents reported a clinic issue near the central market. Complaint reference 1.,Health
A serious problem related to vaccination has been observed. Complaint reference 2.,Health
Citizens complained about medicine causing inconvenience. Complaint reference 3.,Health
Repeated requests have been made to resolve the clinic issue. Complaint reference 4.,Health
People in the locality are concerned about clinic. Complaint reference 5.,Health
Residents reported a medical waste issue near the central market. Complaint reference 6.,Health
Urgent attention required for Hospital in the residential area. Complaint reference 7.,Health
A serious problem related to medicine has been observed. Complaint reference 8.,Health
People in the locality are concerned about dengue. Complaint reference 9.,Health
Repeated requests have been made to resolve the Hospital issue. Complaint reference 10.,Health
Repeated requests have been made to resolve the medicine issue. Complaint reference 11.,Health
A serious problem related to medical waste has been observed. Complaint reference 12.,Health
People in the locality are concerned about health center. Complaint reference 13.,Health
Residents reported a vaccination issue near the central market. Complaint reference 14.,Health
Public safety is affected due to ambulance. Complaint reference 15.,Health
Multiple complaints received regarding sanitation this week. Complaint reference 16.,Health
A serious problem related to ambulance has been observed. Complaint reference 17.,Health
Urgent attention required for sanitation in the residential area. Complaint reference 18.,Health
Public safety is affected due to clinic. Complaint reference 19.,Health
The local authority should inspect the clinic immediately. Complaint reference 20.,Health
People in the locality are concerned about sanitation. Complaint reference 21.,Health
Residents reported a vaccination issue near the central market. Complaint reference 22.,Health
Repeated requests have been made to resolve the health center issue. Complaint reference 23.,Health
Public safety is affected due to clinic. Complaint reference 24.,Health
Repeated requests have been made to resolve the clinic issue. Complaint reference 25.,Health
People in the locality are concerned about vaccination. Complaint reference 26.,Health
People in the locality are concerned about sanitation. Complaint reference 27.,Health
Urgent attention required for medicine in the residential area. Complaint reference 28.,Health
A serious problem related to Hospital has been observed. Complaint reference 29.,Health
Urgent attention required for vaccination in the residential area. Complaint reference 30.,Health
Urgent attention required for medicine in the residential area. Complaint reference 31.,Health
Multiple complaints received regarding medical waste this week. Complaint reference 32.,Health
The local authority should inspect the health center immediately. Complaint reference 33.,Health
The local authority should inspect the ambulance immediately. Complaint reference 34.,Health
A serious problem related to sanitation has been observed. Complaint reference 35.,Health
Urgent attention required for vaccination in the residential area. Complaint reference 36.,Health
Citizens complained about doctor causing inconvenience. Complaint reference 37.,Health
A serious problem related to dengue has been observed. Complaint reference 38.,Health
The condition of ambulance has worsened over the last month. Complaint reference 39.,Health
Multiple complaints received regarding medical waste this week. Complaint reference 40.,Health
A serious problem related to dengue has been observed. Complaint reference 41.,Health
Residents reported a sanitation issue near the central market. Complaint reference 42.,Health
Residents reported a medicine issue near the central market. Complaint reference 43.,Health
Public safety is affected due to sanitation. Complaint reference 44.,Health
